id	name	BirthMonth	BirthYear	BirthDay
620	Eva Bagshaw	APRIL	2001	6
621	Carr Fitzsimon	MAY	2002	13
622	Suzi Livett	JULY	2000	13
623	Doro Bainbridge	MAY	2000	14
624	Marshall McCarlich	DECEMBER	2002	25
625	Malvin Kunzel	JULY	2002	9
626	Robinson Jostan	OCTOBER	2002	19
627	Torrin Farncomb	MARCH	1999	11
628	Aloisia Sadgrove	JULY	2001	2
629	Madelin Philbin	AUGUST	2001	3
630	Nettie Fidge	NOVEMBER	2002	14
631	Chaim Pearce	FEBRUARY	2001	15
632	Dewie Matushevitz	MARCH	2001	21
633	Arlene Davison	JULY	2000	24
634	Farleigh Ricart	MAY	1999	18
635	Archaimbaud Venard	FEBRUARY	2001	2
636	Delano McSperron	JANUARY	1999	6
637	Halsy Ferber	APRIL	2002	25
638	Glendon Donnison	JULY	2001	8
639	Paco Culleford	APRIL	2001	8
640	Tonya McCarle	OCTOBER	2000	9
641	Karmen Pugsley	DECEMBER	2000	10
642	Hailee Pincked	SEPTEMBER	2001	22
643	Hermann Rubega	JUNE	2001	22
644	Dixie Bradbrook	MARCH	2000	16
645	Helene Charlick	AUGUST	1999	5
646	Bondon Poytheras	OCTOBER	2000	23
647	Katusha Tuftin	SEPTEMBER	2002	5
648	Samaria Lindhe	JULY	2000	9
649	Daisy Kleinlerer	MARCH	2000	3
650	Gayleen Clack	OCTOBER	2002	4
651	Helen Tappin	JULY	2002	20
652	Iggy Ratley	JUNE	2000	12
653	Ree Duchasteau	AUGUST	2000	16
654	Sheridan Froom	NOVEMBER	2002	24
655	Bentley Durak	MAY	2000	4
656	Berget Meritt	SEPTEMBER	2000	15
657	Clarita Darton	JANUARY	2002	5
658	Nevin Pyett	OCTOBER	2001	24
659	Lyn Kilduff	MARCH	1999	9
660	Elise Badcock	JULY	1999	17
661	Aurore Mattam	APRIL	2002	5
662	Christopher Benny	NOVEMBER	2001	24
663	Regan Curle	JULY	2000	14
664	Demetri Buttle	MARCH	1999	1
665	Fionna Jochens	NOVEMBER	1999	10
666	Tressa Gladwish	JUNE	2000	23
667	Angele Bielefeld	APRIL	2002	10
668	Alena Catterill	MARCH	1999	23
669	Mariejeanne Prys	AUGUST	2001	11
670	Teddi Keppy	APRIL	2002	3
671	Geoffrey Sloy	APRIL	2000	13
672	Felike Buddock	JANUARY	2000	12
673	Derby Malthus	MAY	1999	18
674	Randene Gurnett	JUNE	2001	2
675	Elsy Franiak	JULY	1999	7
676	Beatrisa McGinnell	AUGUST	2001	22
677	Judy Pfiffer	NOVEMBER	1999	19
678	Raphael Lampens	JANUARY	1999	25
679	Rubia Boshers	MAY	2002	22
680	Renate Rentz	OCTOBER	1999	24
681	Ware Kidsley	NOVEMBER	2001	14
682	Arturo Knewstub	AUGUST	2002	6
683	Ladonna Dibdall	JUNE	1999	17
684	Quintina MacLeese	NOVEMBER	2002	6
685	Baird Tripp	MAY	2002	8
686	Franky Sargent	AUGUST	2001	21
687	Dareen Karpinski	APRIL	2001	20
688	Hortensia Proudley	MAY	2002	15
689	Norry Aisbett	MAY	2002	15
690	Melloney Vautier	APRIL	2000	10
691	Lutero Morant	APRIL	2002	4
692	Courtnay Wasling	MAY	2002	7
693	Alfi Johann	SEPTEMBER	1999	13
694	Lanni Holdworth	FEBRUARY	1999	4
695	Tamara Yakushkev	DECEMBER	1999	13
696	Florie Cleevely	MARCH	2001	12
697	Penny Yitzhok	AUGUST	1999	9
698	Edmon Mitham	MAY	2000	3
699	Nichole Marron	FEBRUARY	1999	18
700	Alair Isham	MAY	2002	21
701	Smith Berridge	JANUARY	2001	12
702	Reena Van Der Straaten	SEPTEMBER	2002	12
703	Josephine Pesticcio	FEBRUARY	2001	4
704	Susanna Carradice	APRIL	2002	6
705	Denny Peach	AUGUST	1999	15
706	Elton Ohm	APRIL	2000	16
707	Annissa Mulvin	JULY	2000	5
708	Moreen Keoghan	APRIL	1999	25
709	Myrilla Lambourne	OCTOBER	2002	5
710	Colas Bushrod	SEPTEMBER	2001	17
711	Hunt Genery	FEBRUARY	1999	24
712	Jay Stemson	AUGUST	2001	20
713	Joey Maxfield	DECEMBER	1999	14
714	Barrett Cumbers	FEBRUARY	1999	18
715	Karolina Balle	DECEMBER	2000	8
716	Andee Armsden	AUGUST	2001	5
717	Ham Ketcher	AUGUST	1999	4
718	Kristian Boards	MARCH	2001	13
719	Marchelle Eusden	AUGUST	2002	13
720	Elga Wingatt	JUNE	2001	7
721	Carmencita Verner	AUGUST	2000	4
722	Elysia Greg	JULY	2000	8
723	Korrie Kerley	AUGUST	2002	3
724	Kordula Pettendrich	OCTOBER	1999	6
725	Kailey Sudlow	OCTOBER	1999	18
726	Christophe Ailmer	OCTOBER	2001	8
727	Carlynne Wasson	AUGUST	1999	15
728	Christoffer Ridding	FEBRUARY	2002	21
729	Dannie Ayshford	DECEMBER	1999	18
730	Menard Huller	APRIL	2000	11
731	Magda Bingell	SEPTEMBER	2001	18
732	Gail Chatteris	OCTOBER	1999	13
733	Si Gladman	APRIL	2000	1
734	Gabe Isac	DECEMBER	1999	21
735	Mimi Alvis	APRIL	2001	18
736	Curr Mustard	APRIL	2001	18
737	Abagael Humphris	JUNE	2001	5
738	Jammie Pietruszka	OCTOBER	2001	7
739	Kerri Hallen	SEPTEMBER	2001	25
740	Rodge Puckinghorne	MARCH	2002	17
741	Yard McGarahan	MARCH	1999	7
742	Grayce Yanez	OCTOBER	2001	24
743	Madel Gallier	JANUARY	2001	12
744	Ara Tremouille	MAY	2002	7
745	Fair Bexley	AUGUST	2000	12
746	Annabell Pendle	JANUARY	2000	12
747	Missy McLenahan	SEPTEMBER	2001	5
748	Feodora Bushill	JUNE	2000	7
749	Aaren Tambling	SEPTEMBER	2000	16
750	Wilburt Tomley	MAY	2000	13
751	Brig Boays	AUGUST	1999	16
752	Nicolea Curtois	DECEMBER	1999	16
753	Kirbie Northcote	SEPTEMBER	2002	12
754	Humphrey Coatman	OCTOBER	2002	9
755	Eilis Scamwell	JUNE	1999	7
756	Frannie Flintiff	NOVEMBER	1999	12
757	Mayer Meldrum	APRIL	1999	11
758	Warde Fautley	JANUARY	1999	8
759	Debee Simeoni	JUNE	2002	1
760	Rosemary des Remedios	MARCH	2001	16
761	Sarette Hun	FEBRUARY	2002	1
762	Billye Minthorpe	SEPTEMBER	2002	13
763	Alida Nisen	SEPTEMBER	1999	15
764	Case Pengilly	JUNE	2000	11
765	Michaelina McGlaughn	APRIL	2000	1
766	Bonni Backen	JUNE	2002	24
767	Lorianna Stripp	AUGUST	1999	24
768	Phebe Brabban	MARCH	2002	3
769	Auberon Febvre	JULY	2000	19
770	Dyane Selwin	JUNE	2000	3
771	Bari Klimke	JUNE	2002	20
772	Gabrila Nobbs	FEBRUARY	2001	10
773	Haroun Hawkridge	DECEMBER	1999	2
774	Heinrick Tunnoch	OCTOBER	2001	10
775	Ardis Kinkead	NOVEMBER	2000	17
776	Sterling Nesterov	MAY	2000	6
777	Sandra Giovannoni	NOVEMBER	1999	9
778	Marcia von Nassau	APRIL	2002	18
779	Christiana Hardington	JANUARY	2000	15
780	Orv Northfield	JANUARY	2002	9
781	Barry Wallworth	OCTOBER	1999	12
782	Ikey Greene	AUGUST	2000	2
783	Inglebert Fligg	MAY	2001	9
784	Sharai Tinham	AUGUST	2000	15
785	Ofilia Bierman	APRIL	2002	14
786	Nikolaos Chatters	MAY	2002	22
787	Koral Comberbeach	NOVEMBER	2000	8
788	Laird Sirkett	APRIL	2001	13
789	Judy Madsen	APRIL	2000	24
790	Tedi Vossing	DECEMBER	2002	16
791	Saidee Shellibeer	JULY	1999	17
792	Lebbie MacKim	NOVEMBER	2002	9
793	Gayleen Antognozzii	JANUARY	2002	11
794	Carlye Readings	MARCH	2000	17
795	Sibyl Tomashov	APRIL	2000	1
796	Eilis Seabrooke	APRIL	2001	21
797	Alastair Worley	AUGUST	2000	25
798	Hurleigh Alexandre	AUGUST	2002	15
799	Bethanne Mahony	FEBRUARY	2000	11
800	Ivor Domenici	MARCH	2002	13
801	Roma Greenstreet	MARCH	1999	19
802	Griselda Georgievski	MARCH	2000	1
803	Avrit Stilldale	APRIL	2001	6
804	Benjie Stein	JULY	2001	15
805	Josee Measham	SEPTEMBER	2001	19
806	Filbert Marciek	APRIL	2000	10
807	Meta Jurgenson	JULY	1999	8
808	Quint Boyd	NOVEMBER	2001	8
809	Zonda McCullouch	DECEMBER	2001	21
810	Florinda Traice	OCTOBER	1999	10
811	Bondie Carvell	DECEMBER	2001	10
812	Genovera Hamsson	SEPTEMBER	1999	9
813	Jacquelyn Pitbladdo	APRIL	2001	8
814	Didi MacFall	JANUARY	2002	13
815	Killy Sargint	JULY	2000	20
816	Vi Quinane	OCTOBER	2001	14
817	Wakefield Britten	MARCH	2001	5
818	Pammy Butler	JUNE	2001	10
819	Klemens Grunder	JULY	1999	4
820	Thatcher Donnelly	MAY	1999	17
821	Bartholomeus Aubery	JULY	2002	11
822	Tess Seeger	MAY	2001	23
823	Austine Cowcha	MARCH	1999	11
824	Pablo Sutterfield	NOVEMBER	1999	1
825	Cicely Gifford	MARCH	1999	22
826	Valaria Klimshuk	NOVEMBER	2002	10
827	Martainn Beaford	DECEMBER	2000	16
828	Selle Paprotny	DECEMBER	2002	7
829	Charo Durrell	APRIL	1999	24
830	Garret Samarth	JULY	2001	14
831	Camella O'Hoey	FEBRUARY	1999	7
832	Roxy Meckiff	JANUARY	2000	9
833	Cos Skeggs	APRIL	1999	17
834	Cami Hollows	DECEMBER	2001	19
835	Verla Rapa	JANUARY	2001	10
836	Reagan Mumby	AUGUST	2002	5
837	Gorden Scrymgeour	JANUARY	2000	1
838	Geno Duffrie	MAY	1999	8
839	Dannie Farland	DECEMBER	2000	12
840	Didi Clemente	SEPTEMBER	1999	16
841	Rona Odam	NOVEMBER	2002	11
842	Tobe Gaish	DECEMBER	2001	4
843	Cary Farbrother	FEBRUARY	2001	10
844	Nadia Spofford	JUNE	2002	2
845	Finley Aldhous	DECEMBER	2002	20
846	Homer Assiratti	NOVEMBER	2000	17
847	Winthrop Gellibrand	MARCH	1999	24
848	Humfried Fockes	NOVEMBER	1999	9
849	Silvio Wickardt	JULY	2002	1
850	Donall Pau	AUGUST	1999	8
851	Allyn Wrankling	MAY	2000	13
852	Ilario Gorgl	JULY	1999	25
853	Stearn Brok	FEBRUARY	2002	8
854	Hazlett Gladebeck	APRIL	2002	21
855	Legra Bulgen	NOVEMBER	2000	8
856	Rosina Golds	JULY	2002	14
857	Dinny Crottagh	AUGUST	2000	4
858	Gipsy Makinson	APRIL	2001	22
859	Waldon Crier	MAY	1999	1
860	Robinett Borrie	JANUARY	2002	17
861	Fax Gorwood	MARCH	1999	5
862	Auroora Matousek	MAY	1999	15
863	Shirl Benardeau	MARCH	2001	7
864	Cal O'Neill	NOVEMBER	1999	17
865	Tallie Rissom	JULY	2002	6
866	Wynny Duckers	JULY	2002	14
867	Adrian Mallya	AUGUST	2000	3
868	Jerrold Gleaves	JANUARY	2000	15
869	Bevvy Joslin	FEBRUARY	1999	23
870	Bradford Beverage	OCTOBER	2001	19
871	Werner Isakowicz	JULY	2001	16
872	Lina Cutting	JUNE	2000	14
873	Efrem Seabridge	MAY	1999	13
874	Tad Scatcher	DECEMBER	2002	11
875	Carlye Tritten	MARCH	2000	13
876	Christean Linnett	SEPTEMBER	1999	6
877	Grantley Braunle	DECEMBER	2001	23
878	Kenny Weighell	DECEMBER	2000	4
879	Brit Geibel	AUGUST	1999	8
880	Dacey McGonnell	APRIL	2002	7
881	Barbi Harston	DECEMBER	2002	8
882	Robinett Saunier	JANUARY	2000	25
883	Glory Pickerin	AUGUST	1999	6
884	Sanford Bowley	JULY	2002	15
885	Penrod Hackley	SEPTEMBER	2000	18
886	Hoebart Illsley	JUNE	2000	14
887	Shani Goodanew	FEBRUARY	2001	7
888	Sarita Plumley	DECEMBER	2000	5
889	Joey Baldoni	JANUARY	2001	24
890	Benedict Froom	FEBRUARY	2002	15
891	Clarette Brymham	FEBRUARY	1999	21
892	Domini Bartosik	DECEMBER	2000	18
893	Nicole Fuchs	MARCH	1999	2
894	Guinna Creaser	FEBRUARY	1999	17
895	Nessie Ellingworth	SEPTEMBER	2000	12
896	Lucine Wallsworth	MAY	2002	15
897	Fabio Tessington	MARCH	2002	5
898	Allayne Yggo	JULY	2002	12
899	Fabio Barthelme	JUNE	2000	1
900	Christian Kalvin	SEPTEMBER	2000	16
901	Fionnula Slisby	APRIL	2002	5
902	Norene Birds	AUGUST	2001	20
903	Pansie Andrick	NOVEMBER	1999	18
904	Saunders Duinbleton	JANUARY	2000	8
905	Carey Tredget	MAY	2001	12
906	Auberon Lund	APRIL	1999	25
907	Mikey Mellsop	MAY	1999	22
908	Lenore Cosely	JULY	2000	3
909	Osmond Arthur	FEBRUARY	2001	1
910	Sonnie Fazzioli	MAY	2000	5
911	Hoebart Studdeard	MARCH	1999	25
912	Linc Mansion	MAY	2001	3
913	Tonya Gillio	JULY	2002	18
914	Keely Singyard	SEPTEMBER	2000	11
915	Forrester Bolens	MAY	1999	23
916	Moina Gunningham	JULY	2000	21
917	Debbie Bartley	MARCH	2000	23
918	Bari Tudor	JULY	1999	21
919	Marice Gladwell	NOVEMBER	2001	1
920	Dorothy Boullen	OCTOBER	2002	22
921	Lawrence Mariault	JANUARY	2001	24
922	Eldon Burt	FEBRUARY	1999	5
923	Obadias Woffinden	JULY	2000	14
924	Arthur Tumpane	MAY	2002	3
925	Tony Owthwaite	NOVEMBER	2001	10
926	Philippine Klosges	SEPTEMBER	2000	7
927	Corrina Leve	APRIL	2001	20
928	Quinta Feldon	JUNE	2001	20
929	Felipa Brosetti	MARCH	2002	18
930	Ruprecht Baldrey	MAY	1999	8
931	Mollie Gillani	AUGUST	2001	23
932	Kaye Beament	APRIL	2000	3
933	Delly Domel	JANUARY	2002	4
934	Adolf Eldritt	DECEMBER	2001	7
935	Melody Lammin	MARCH	2002	21
936	Nikolai Jachimiak	NOVEMBER	2002	1
937	Marsha Simmers	MAY	2001	23
938	Shaylynn Crennell	FEBRUARY	2001	18
939	Shelley O'Cosgra	AUGUST	2002	24
940	Henry Worsfold	FEBRUARY	2001	16
941	Alex Gritland	MAY	1999	18
942	Celeste Bunson	NOVEMBER	2001	24
943	Daren Dicty	NOVEMBER	2002	2
944	Arvie Bellhouse	DECEMBER	2000	20
945	Cherilynn Begbie	MAY	1999	19
946	Cynthie Briat	NOVEMBER	2002	4
947	Fairfax Godon	FEBRUARY	2002	17
948	Kalila Bosward	OCTOBER	2000	20
949	Jeanie Scimoni	OCTOBER	1999	24
950	Camellia Lathom	MAY	2000	1
951	Maire McLarnon	MARCH	2001	8
952	Nate Frid	FEBRUARY	2002	7
953	Omero Terrett	SEPTEMBER	2002	5
954	Alexio Fattore	AUGUST	2000	20
955	Patrizia Illidge	MAY	2001	10
956	Lina Gallahue	JUNE	2002	13
957	Jacqui Jouning	FEBRUARY	2002	19
958	Brewster Kellick	OCTOBER	1999	8
959	Marybelle Drydale	SEPTEMBER	2001	1
960	Kimberli Sailor	FEBRUARY	2002	18
961	Valentijn Mussettini	DECEMBER	2000	10
962	Abbye Challenor	MAY	2001	19
963	Torey St. Queintain	JANUARY	2002	22
964	Nannette Chatten	JANUARY	2002	14
965	Gabby Lillecrap	DECEMBER	2001	11
966	Kiersten Potell	MAY	2000	15
967	Abigael Driffe	DECEMBER	1999	4
968	Cristie Rubenov	NOVEMBER	2002	5
969	Estele McKune	MARCH	2002	18
970	Verge Isakovic	FEBRUARY	2000	25
971	Rickie Olensby	JANUARY	2000	12
972	Jesselyn Garioch	NOVEMBER	2001	12
973	Winna Ciciari	AUGUST	1999	14
974	Cristie Jost	JULY	1999	18
975	Konstance Gainor	MAY	2000	2
976	Romeo Dowall	MAY	2001	19
977	Natasha Zincke	FEBRUARY	2000	12
978	Kaila Buscombe	JULY	2002	9
979	Raviv Mathieson	JULY	1999	23
980	Holt Serck	FEBRUARY	1999	25
981	Odelia Guare	OCTOBER	2002	2
982	Katha Cosley	SEPTEMBER	1999	2
983	Corny Bohlmann	JULY	2000	12
984	Maribelle Andrivot	OCTOBER	2002	12
985	Ernaline Antonchik	AUGUST	2001	6
986	Ellerey Barnish	AUGUST	2001	24
987	Willie Issac	SEPTEMBER	2002	16
988	Andriana Regglar	OCTOBER	2001	1
989	Prescott Shout	FEBRUARY	2000	15
990	Manon Eby	DECEMBER	1999	18
991	Crystie Illston	SEPTEMBER	2000	11
992	Leoline Nuttey	DECEMBER	2000	14
993	Terza MacLachlan	MAY	2002	25
994	Haydon Neath	MARCH	1999	13
995	Iona Walkington	SEPTEMBER	2001	19
996	Christean Gertz	FEBRUARY	2001	20
997	Menard Kinder	SEPTEMBER	1999	20
998	Dave MacMoyer	MARCH	1999	16
999	Lorrie Abreheart	JUNE	2002	15
1000	Winston Bastistini	JUNE	2001	18
